step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,21320092.0,14340.1171875,4235.337890625,24.011371612548828
2,1,57738840.0,12704.763671875,11522.3583984375,6.498878002166748
3,1,24705956.0,13266.07421875,4914.6591796875,6.7977447509765625
4,1,28135306.0,13469.82421875,5600.12158203125,5.9988884925842285
5,1,28744780.0,11667.966796875,5725.6201171875,5.0248284339904785
6,1,26595980.0,9777.9404296875,5299.64013671875,5.105443954467773
7,1,24590736.0,12835.765625,4892.4755859375,5.005295753479004
8,1,23334862.0,12480.0009765625,4642.01220703125,4.505455017089844
9,1,21870544.0,13162.708984375,4347.783203125,4.354386329650879
10,1,19850802.0,14876.6513671875,3940.4072265625,4.7258710861206055
11,1,17759956.0,14650.5302734375,3522.68994140625,4.794323444366455
12,1,15778404.0,17046.44921875,3121.587890625,5.600563049316406
13,1,14109136.0,22037.328125,2777.752685546875,6.6585211753845215
14,1,13853724.0,20274.513671875,2730.19580078125,6.86317253112793
15,1,13186862.0,19723.8671875,2597.924560546875,6.831090450286865
16,1,13398674.0,17942.72265625,2643.849365234375,6.248893737792969
17,1,14885765.0,18481.9375,2940.189208984375,6.549261093139648
18,1,14131485.0,16491.24609375,2793.314697265625,6.3240509033203125
19,1,11679786.0,17531.875,2300.893310546875,6.729565620422363
20,1,11887708.0,21323.71875,2334.894287109375,7.791482448577881
21,1,10250670.0,20856.23828125,2008.4215087890625,7.762102127075195
22,1,9843336.0,23333.20703125,1922.000732421875,8.782288551330566
23,1,8615901.0,22227.44140625,1678.725341796875,9.293096542358398
24,1,9318091.0,23709.7421875,1816.19873046875,9.750276565551758
25,1,8435265.0,23241.42578125,1640.5701904296875,9.64737319946289
26,1,8055381.0,24967.7734375,1561.1407470703125,10.97079086303711
27,1,7820644.0,23735.08984375,1516.6585693359375,10.730849266052246
28,1,7799695.5,24535.29296875,1510.8685302734375,10.742379188537598
29,1,7824214.0,23422.54296875,1517.9976806640625,10.198942184448242
30,1,7552024.5,23866.2734375,1462.67236328125,9.904897689819336
31,1,7335764.0,24210.873046875,1418.7310791015625,10.386512756347656
32,1,8009851.0,24809.939453125,1552.350341796875,10.261669158935547
33,1,7186818.5,25607.48046875,1386.148681640625,11.034693717956543
34,1,7166201.5,25123.24609375,1382.9937744140625,11.206015586853027
35,1,7061435.0,28913.02734375,1354.4609375,12.710094451904297
36,1,6611110.0,26035.3203125,1270.1513671875,11.12770938873291
37,1,6728544.0,23381.2421875,1298.9462890625,10.546385765075684
38,1,7106924.5,26661.69140625,1368.0615234375,10.936134338378906
39,1,6906403.0,25056.82421875,1331.1669921875,10.902520179748535
40,1,6300445.0,25713.21875,1208.66259765625,11.547065734863281
41,1,6694322.0,23242.859375,1292.378662109375,11.241941452026367
42,1,6526365.0,25896.39453125,1253.480224609375,12.567048072814941
43,1,6162779.0,25227.76171875,1182.100341796875,13.00633430480957
44,1,6031407.5,24396.84375,1157.48779296875,12.454696655273438
45,1,6147745.0,22957.96875,1183.633056640625,11.663761138916016
46,1,6048948.5,25459.28515625,1158.87109375,13.251001358032227
47,1,6003625.0,25696.625,1149.331787109375,13.992847442626953
48,1,5746941.0,24854.23828125,1099.6796875,13.490097045898438
49,1,5712597.0,25291.181640625,1091.93701171875,12.975374221801758
50,1,5870039.0,23474.28125,1127.0592041015625,12.316949844360352
51,1,5263038.0,24753.392578125,1003.100830078125,13.066800117492676
52,1,5652237.0,23222.12109375,1084.003173828125,13.038637161254883
53,1,5456647.0,25564.17578125,1040.2010498046875,13.993539810180664
54,1,5806471.0,25235.60546875,1110.822998046875,14.276433944702148
55,1,5358470.0,22693.216796875,1026.3076171875,13.74775505065918
56,1,4930458.5,25706.171875,934.6793823242188,14.796886444091797
57,1,4829863.5,23734.60546875,918.5034790039062,14.431150436401367
58,1,5017961.5,23553.68359375,956.4849243164062,14.082574844360352
59,1,5077192.5,25913.478515625,963.6114501953125,15.434422492980957
60,1,4606673.0,26488.68359375,868.3572387695312,15.897369384765625
61,1,4324968.5,26304.1171875,812.3854370117188,16.91629981994629
62,1,4454137.0,23958.2421875,842.9109497070312,15.687382698059082
63,1,4244773.0,24077.72265625,800.7991943359375,16.083824157714844
64,1,4538462.0,25559.68359375,856.572998046875,16.250761032104492
65,1,4208734.0,23207.48046875,795.331787109375,16.37069320678711
66,1,3980474.25,23973.90234375,748.1470336914062,17.16362762451172
67,1,3711563.75,24022.15625,694.2684326171875,17.55770492553711
68,1,3762957.25,26575.99609375,699.439453125,19.7359676361084
69,1,3523860.0,26174.98828125,652.4220581054688,17.64145278930664
70,1,3518746.75,25789.75390625,652.1698608398438,19.148880004882812
71,1,3702537.5,24449.28125,691.6089477539062,19.114892959594727
72,1,3687246.0,22800.59375,691.8480224609375,17.626205444335938
73,1,3784453.5,22453.697265625,711.9832763671875,18.33771514892578
74,1,3276089.75,27482.74609375,600.25244140625,20.646759033203125
75,1,3399023.75,24828.369140625,630.1480102539062,20.240901947021484
76,1,3151539.5,23952.333984375,582.4032592773438,20.92009735107422
77,1,3103525.5,24359.5078125,571.986083984375,20.22297477722168
78,1,3250784.0,21851.326171875,606.4541625976562,19.00508689880371
79,1,2914006.75,25960.25,530.880859375,20.60308837890625
80,1,2877123.75,25484.2734375,524.4561767578125,21.158721923828125
81,1,2929484.5,24375.51953125,537.1458740234375,19.553722381591797
82,1,2596778.25,24138.115234375,471.07940673828125,19.98772430419922
83,1,2780119.0,24172.0703125,507.67962646484375,21.695281982421875
84,1,2640170.0,23949.669921875,480.1346435546875,19.532005310058594
85,1,2576296.25,25011.65625,465.2359619140625,20.835987091064453
86,1,2524738.0,23664.28125,457.6190490722656,20.449359893798828
87,1,2526972.5,24286.25,456.8219909667969,21.266895294189453
88,1,2257173.5,24493.021484375,402.4486389160156,21.26695442199707
89,1,2320345.75,23671.640625,416.7258605957031,21.48487091064453
90,1,2082747.125,23964.4453125,368.6205139160156,21.814882278442383
91,1,2152208.75,23961.81640625,382.5180969238281,22.0726318359375
92,1,2001906.0,22427.5390625,355.526123046875,21.72528076171875
93,1,1902506.0,21189.28125,338.12261962890625,21.563560485839844
94,1,1878579.0,24186.57421875,327.3426513671875,22.494220733642578
95,1,1877839.5,22858.666015625,329.8505859375,22.845726013183594
96,1,1888615.5,22268.646484375,333.185791015625,21.862234115600586
97,1,1757367.0,21994.6015625,307.48419189453125,22.583799362182617
98,1,1763356.25,24084.36328125,304.5025329589844,23.49697494506836
99,1,1723488.5,23852.92578125,296.9918518066406,22.110427856445312
100,1,1755021.125,22265.5234375,306.4731750488281,23.606468200683594
101,1,1647774.75,23604.83203125,282.34527587890625,24.793655395507812
102,1,1585233.375,23445.162109375,270.1563415527344,24.354394912719727
103,1,1652770.875,20108.267578125,290.337646484375,22.267139434814453
104,1,1513663.0,20721.14453125,261.2903137207031,22.80034065246582
105,1,1582772.5,21878.5234375,272.7974548339844,23.065311431884766
106,1,1555078.875,21928.40234375,267.1589660644531,22.990966796875
107,1,1463775.75,21254.265625,250.2466278076172,23.15039825439453
108,1,1462176.5,22865.318359375,246.7046661376953,24.086050033569336
109,1,1365777.625,22056.640625,229.04225158691406,24.332046508789062
110,1,1447087.5,20164.130859375,249.08924865722656,23.58222198486328
111,1,1311825.375,20582.82421875,221.19943237304688,23.989376068115234
112,1,1339418.75,20591.96484375,226.6998291015625,23.226009368896484
113,1,1315756.5,21351.744140625,220.4477996826172,25.612722396850586
114,1,1380384.5,21533.15625,233.0105743408203,24.595516204833984
115,1,1335498.5,21386.96875,224.3257598876953,26.143001556396484
116,1,1381893.625,21873.0234375,232.63267517089844,25.026670455932617
117,1,1286748.625,21224.1640625,214.90139770507812,24.4285888671875
118,1,1269686.125,21870.9609375,210.1953125,26.018108367919922
119,1,1252768.75,22108.353515625,206.33705139160156,24.598613739013672
120,1,1261290.625,21096.1015625,210.06593322753906,24.316158294677734
121,1,1190995.25,23168.58203125,191.86187744140625,25.794681549072266
122,1,1183042.625,21957.962890625,192.69259643554688,25.223506927490234
123,1,1153088.0,21959.66796875,186.69827270507812,26.794301986694336
124,1,1193271.625,21182.06640625,196.29019165039062,25.636417388916016
125,1,1077328.375,21256.373046875,172.95294189453125,26.570632934570312
126,1,1092221.625,19999.18359375,178.4459686279297,25.395347595214844
127,1,1134034.25,19866.60546875,187.07363891601562,26.773902893066406
128,1,1192022.125,21137.078125,196.13027954101562,26.00757598876953
