step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,298735566848.0,21737.6484375,298735.53125,25.404399871826172
2,1,51570483200.0,21980.232421875,51570.4609375,17.860990524291992
3,1,166793543680.0,20642.236328125,166793.53125,8.772271156311035
4,1,81512464384.0,15572.0703125,81512.4453125,4.866399765014648
5,1,63793119232.0,18768.44140625,63793.09765625,3.542067527770996
6,1,52874805248.0,15919.103515625,52874.7890625,3.4551658630371094
7,1,45805289472.0,20094.6484375,45805.26953125,2.637190341949463
8,1,45270409216.0,19542.33203125,45270.390625,3.407015323638916
9,1,41838202880.0,20018.04296875,41838.18359375,3.024354934692383
10,1,39809449984.0,25445.943359375,39809.42578125,3.9526851177215576
11,1,36688748544.0,21824.279296875,36688.7265625,2.9774837493896484
12,1,35361624064.0,21469.955078125,35361.6015625,2.8917016983032227
13,1,34627088384.0,23717.03125,34627.0625,2.6453254222869873
14,1,34537742336.0,19888.083984375,34537.72265625,2.8806982040405273
15,1,33666611200.0,24299.125,33666.5859375,3.5443735122680664
16,1,32016760832.0,21594.62890625,32016.73828125,2.9149889945983887
17,1,30501525504.0,27655.890625,30501.49609375,3.473562240600586
18,1,29360478208.0,26198.396484375,29360.451171875,3.243863344192505
19,1,28396263424.0,21424.029296875,28396.2421875,2.9152822494506836
20,1,26625355776.0,24387.03515625,26625.33203125,3.1139488220214844
21,1,26158792704.0,25640.40234375,26158.765625,3.3755178451538086
22,1,25609666560.0,23910.455078125,25609.642578125,2.880103588104248
23,1,24027772928.0,25629.5,24027.74609375,3.155050277709961
24,1,23948163072.0,26204.94921875,23948.13671875,3.6615207195281982
25,1,21825503232.0,27251.6953125,21825.4765625,3.251451015472412
26,1,20982693888.0,25635.796875,20982.66796875,3.4269261360168457
27,1,21270521856.0,26044.25390625,21270.49609375,2.9367921352386475
28,1,20573444096.0,28748.662109375,20573.416015625,3.2498486042022705
29,1,19389665280.0,22601.330078125,19389.642578125,2.9500114917755127
30,1,19515158528.0,23853.33984375,19515.134765625,3.4491209983825684
31,1,19100133376.0,27759.3046875,19100.10546875,3.994326591491699
32,1,18320109568.0,30930.38671875,18320.078125,4.0273847579956055
33,1,18796838912.0,29206.80078125,18796.810546875,3.661226272583008
34,1,19165308928.0,23341.5390625,19165.287109375,3.081322193145752
35,1,18793441280.0,33204.88671875,18793.408203125,3.907930374145508
36,1,18266316800.0,26373.33984375,18266.291015625,3.4740939140319824
37,1,18102038528.0,24022.3515625,18102.013671875,3.1323533058166504
38,1,17080999936.0,32259.419921875,17080.966796875,4.501124858856201
39,1,16785467392.0,35335.34765625,16785.431640625,4.89691162109375
40,1,17629014016.0,29185.232421875,17628.986328125,3.811664581298828
41,1,16673400832.0,33633.20703125,16673.3671875,4.382629871368408
42,1,17345601536.0,28511.5390625,17345.572265625,3.751967430114746
43,1,15914127360.0,28946.53125,15914.0986328125,4.166195869445801
44,1,16176093184.0,28340.79296875,16176.064453125,4.176708221435547
45,1,15951040512.0,31153.06640625,15951.009765625,5.053373336791992
46,1,15829139456.0,25999.5625,15829.1142578125,3.8447365760803223
47,1,16001849344.0,24481.19921875,16001.8251953125,4.197670936584473
48,1,15542711296.0,32956.44140625,15542.6787109375,4.542357444763184
49,1,15401828352.0,32252.84765625,15401.796875,4.687108516693115
50,1,14235314176.0,31787.443359375,14235.2822265625,5.068408012390137
51,1,14664758272.0,28507.9609375,14664.7294921875,5.0554304122924805
52,1,14137285632.0,31732.95703125,14137.25390625,5.748318672180176
53,1,14190484480.0,32995.48046875,14190.4521484375,5.603595733642578
54,1,13217454080.0,46299.8515625,13217.408203125,7.5770769119262695
55,1,13834364928.0,34733.9140625,13834.330078125,6.289141654968262
56,1,14101847040.0,27955.33203125,14101.8193359375,6.01912784576416
57,1,12728142848.0,38178.6953125,12728.10546875,7.585557460784912
58,1,13638855680.0,28407.71484375,13638.8271484375,5.987184524536133
59,1,12961445888.0,32565.267578125,12961.4130859375,6.610256195068359
60,1,11852263424.0,33263.9140625,11852.23046875,6.903634548187256
61,1,11976570880.0,39890.08203125,11976.53125,7.560639381408691
62,1,11763256320.0,31749.70703125,11763.224609375,7.353021621704102
63,1,11233724416.0,38637.46875,11233.685546875,8.193387031555176
64,1,11293061120.0,33210.51953125,11293.0283203125,8.0670166015625
65,1,10455876608.0,35165.4765625,10455.841796875,8.816570281982422
66,1,10711446528.0,32294.0078125,10711.4140625,7.950597763061523
67,1,9779439616.0,34931.6953125,9779.404296875,9.049093246459961
68,1,9422589952.0,31494.7734375,9422.55859375,8.857017517089844
69,1,9341882368.0,28566.23828125,9341.853515625,9.165792465209961
70,1,8586420736.0,35880.5703125,8586.384765625,10.832916259765625
71,1,8570799104.0,35546.6796875,8570.763671875,10.956375122070312
72,1,8867546112.0,37666.14453125,8867.5078125,10.91212272644043
73,1,7607537152.0,34683.37890625,7607.50244140625,12.668817520141602
74,1,7992914944.0,33340.19921875,7992.8818359375,11.813129425048828
75,1,7238199296.0,37515.8984375,7238.162109375,12.97103500366211
76,1,8551599104.0,28440.900390625,8551.5703125,10.35906982421875
77,1,7354462208.0,31991.931640625,7354.4306640625,12.358086585998535
78,1,7289242112.0,33485.0390625,7289.208984375,11.718170166015625
79,1,7954297344.0,31659.3984375,7954.265625,10.788454055786133
80,1,7002961920.0,33866.23046875,7002.92822265625,11.905984878540039
81,1,6413704704.0,34353.6640625,6413.67041015625,13.196281433105469
82,1,6756018688.0,31396.85546875,6755.9873046875,14.017486572265625
83,1,6737400320.0,28579.265625,6737.37158203125,12.321378707885742
84,1,6263006720.0,27915.013671875,6262.978515625,13.60690689086914
85,1,6217726464.0,36273.734375,6217.68994140625,15.37517261505127
86,1,6379472896.0,33009.6640625,6379.43994140625,14.388202667236328
87,1,6105668096.0,34123.40625,6105.6337890625,15.391376495361328
88,1,5620067840.0,35559.828125,5620.03271484375,16.170331954956055
89,1,5790845440.0,34456.71875,5790.81103515625,15.469319343566895
90,1,5993160192.0,36726.83984375,5993.12353515625,15.580792427062988
91,1,6120314368.0,31798.521484375,6120.28271484375,14.940357208251953
92,1,5265236992.0,35334.109375,5265.20166015625,17.787086486816406
93,1,5649250304.0,35693.5234375,5649.21435546875,14.926929473876953
94,1,5181424640.0,38133.4296875,5181.38671875,16.317190170288086
95,1,5321549312.0,33784.5859375,5321.515625,16.29814338684082
96,1,5156801024.0,33859.8203125,5156.76708984375,17.832721710205078
97,1,5329829376.0,31720.0,5329.7978515625,15.034109115600586
98,1,5084192256.0,34510.9375,5084.15771484375,15.617022514343262
99,1,4827977216.0,40559.4921875,4827.93701171875,17.839269638061523
100,1,4697130496.0,39308.34375,4697.09130859375,17.340747833251953
101,1,5240504320.0,32443.23046875,5240.47216796875,15.19351577758789
102,1,5271319040.0,34334.3046875,5271.28466796875,15.102348327636719
103,1,5312100352.0,32942.6875,5312.0673828125,17.609588623046875
104,1,5020431872.0,30363.681640625,5020.40185546875,16.14769172668457
105,1,4396856832.0,35691.3515625,4396.82080078125,18.60208511352539
106,1,4513686016.0,34486.0546875,4513.65185546875,18.008464813232422
107,1,4579904512.0,32897.375,4579.87158203125,17.092437744140625
108,1,4466909184.0,33921.671875,4466.87548828125,17.76263427734375
109,1,4582688256.0,34505.4765625,4582.65380859375,17.08022117614746
110,1,4209869312.0,34350.171875,4209.8349609375,17.203998565673828
111,1,4445095424.0,36283.234375,4445.05908203125,18.10424041748047
112,1,4155717888.0,36679.0859375,4155.68115234375,18.14449691772461
113,1,4311225344.0,34241.9296875,4311.19091796875,16.771732330322266
114,1,3916939264.0,33307.421875,3916.906005859375,17.60385513305664
115,1,4651459072.0,33070.8671875,4651.42578125,17.248931884765625
116,1,4379439616.0,33937.25,4379.40576171875,18.58003044128418
117,1,4513059840.0,32114.021484375,4513.02734375,16.860158920288086
118,1,4368334336.0,30609.58203125,4368.3037109375,16.954837799072266
119,1,4251242496.0,30974.4453125,4251.21142578125,16.856197357177734
120,1,4409317888.0,32212.845703125,4409.28564453125,15.240884780883789
121,1,4148395520.0,34440.12890625,4148.36083984375,18.25813865661621
122,1,4337058816.0,37402.35546875,4337.021484375,15.136398315429688
123,1,4644170240.0,33240.703125,4644.13671875,14.952186584472656
124,1,4215792896.0,31346.859375,4215.76171875,17.240768432617188
125,1,4067344384.0,39442.82421875,4067.304931640625,19.5555419921875
126,1,4072194560.0,34396.52734375,4072.16015625,18.212953567504883
127,1,4653977600.0,31307.765625,4653.9462890625,17.754108428955078
128,1,3820474624.0,36793.6484375,3820.437744140625,18.343338012695312
129,1,3895108608.0,35477.2109375,3895.072998046875,17.685829162597656
130,1,3908418816.0,32620.42578125,3908.38623046875,18.029239654541016
131,1,4268550144.0,28691.3046875,4268.521484375,16.394672393798828
132,1,3763648768.0,31310.521484375,3763.617431640625,17.994474411010742
133,1,3515346688.0,34360.40625,3515.3125,20.034236907958984
134,1,3629962496.0,36309.7734375,3629.926025390625,19.040817260742188
135,1,3444281600.0,35343.984375,3444.246337890625,18.079620361328125
136,1,3575600640.0,35440.25390625,3575.5654296875,19.340984344482422
137,1,3511523840.0,37221.58984375,3511.48681640625,18.93505859375
138,1,4018368256.0,34011.78515625,4018.334228515625,16.65027618408203
139,1,3614763520.0,36147.5546875,3614.7275390625,20.114748001098633
140,1,3705606400.0,33245.7734375,3705.5732421875,17.690593719482422
141,1,3518040320.0,36841.125,3518.00341796875,18.893474578857422
142,1,3776478208.0,29228.87890625,3776.448974609375,19.31812286376953
143,1,3333553408.0,34904.48046875,3333.5185546875,18.79813003540039
144,1,3478991104.0,34139.84375,3478.95703125,18.541385650634766
145,1,3414513664.0,31654.37109375,3414.48193359375,20.188203811645508
146,1,3260920832.0,38172.328125,3260.8828125,20.151973724365234
147,1,3420641024.0,32869.19921875,3420.608154296875,19.076873779296875
148,1,3323509760.0,34457.15625,3323.47509765625,20.107681274414062
149,1,3421024768.0,33799.03125,3420.990966796875,20.313156127929688
150,1,3401403648.0,29968.849609375,3401.373779296875,17.915132522583008
151,1,3163926016.0,35899.6640625,3163.89013671875,18.531963348388672
152,1,3428415488.0,34450.0625,3428.380859375,18.61510467529297
153,1,3211086848.0,31600.203125,3211.055419921875,20.016361236572266
154,1,3584536064.0,36752.140625,3584.499267578125,19.48853302001953
155,1,3126691584.0,40436.21875,3126.651123046875,22.189559936523438
156,1,2982634240.0,34584.54296875,2982.599609375,20.76264190673828
157,1,3486611712.0,27446.80859375,3486.584228515625,18.917312622070312
158,1,3060224512.0,33317.70703125,3060.191162109375,20.635597229003906
159,1,3244351744.0,36435.10546875,3244.3154296875,20.48564910888672
160,1,3043906048.0,37006.12109375,3043.868896484375,19.918519973754883
161,1,2917871872.0,37088.796875,2917.834716796875,21.02193832397461
162,1,2953067264.0,38490.1640625,2953.02880859375,21.449382781982422
163,1,2791068928.0,30857.40234375,2791.037841796875,20.61853790283203
164,1,2831406080.0,35236.5390625,2831.370849609375,20.658979415893555
165,1,3064816640.0,34086.5078125,3064.78271484375,19.61894989013672
166,1,2849132800.0,38834.25,2849.093994140625,21.136920928955078
167,1,2681078784.0,33942.97265625,2681.044677734375,22.03203582763672
168,1,2591952128.0,33953.7734375,2591.91796875,21.488731384277344
169,1,2840504576.0,41087.25390625,2840.463623046875,21.83892822265625
170,1,2894415872.0,31636.970703125,2894.384033203125,20.009117126464844
171,1,2696582400.0,36453.82421875,2696.546142578125,21.996355056762695
172,1,2882478080.0,31629.443359375,2882.4462890625,21.734472274780273
173,1,2723623424.0,35560.3125,2723.587890625,22.085636138916016
174,1,2644250368.0,33080.96875,2644.21728515625,21.387393951416016
175,1,2822646272.0,31730.361328125,2822.614501953125,22.509765625
176,1,2669030912.0,36996.25390625,2668.993896484375,21.541284561157227
177,1,2585659392.0,30859.6171875,2585.62841796875,22.320568084716797
178,1,2851294976.0,32370.5390625,2851.2626953125,21.75704574584961
179,1,2494927104.0,35191.91796875,2494.89208984375,22.59759521484375
180,1,2532348416.0,31823.8515625,2532.316650390625,20.88745880126953
181,1,2550591232.0,33169.4296875,2550.557861328125,21.608566284179688
182,1,2533780480.0,35045.0,2533.745361328125,21.687049865722656
183,1,2834625536.0,30880.771484375,2834.594482421875,22.323318481445312
184,1,2594194688.0,31068.40625,2594.163818359375,22.033174514770508
185,1,2442466560.0,36361.9921875,2442.43017578125,22.94096565246582
186,1,2504430336.0,37632.34375,2504.392822265625,22.011978149414062
187,1,2454200832.0,36164.703125,2454.164794921875,23.443355560302734
188,1,2413530624.0,32830.10546875,2413.497802734375,21.020803451538086
189,1,2357406208.0,32892.76171875,2357.37353515625,22.772201538085938
190,1,2310225408.0,38862.76953125,2310.1865234375,22.92784881591797
191,1,2265439744.0,35326.70703125,2265.404296875,23.674354553222656
192,1,2387388160.0,32811.51171875,2387.35546875,22.710647583007812
193,1,2386308864.0,33791.3671875,2386.275146484375,21.74344253540039
194,1,2317638400.0,34115.83984375,2317.604248046875,23.026077270507812
195,1,2224661248.0,34078.86328125,2224.627197265625,22.998510360717773
196,1,2321662208.0,36991.9296875,2321.625244140625,22.984893798828125
197,1,2462775552.0,27548.23828125,2462.747802734375,22.76740837097168
198,1,2201850624.0,35085.73828125,2201.815673828125,23.200876235961914
199,1,2233958144.0,33640.1953125,2233.924560546875,24.91246223449707
200,1,2208476928.0,31408.833984375,2208.445556640625,23.901561737060547
201,1,2292961792.0,33039.2734375,2292.9287109375,23.55707550048828
202,1,2216188416.0,30610.09765625,2216.15771484375,23.832609176635742
203,1,2700632064.0,31669.662109375,2700.600341796875,22.011653900146484
204,1,2205882880.0,36053.421875,2205.8466796875,24.562374114990234
205,1,2799287040.0,37202.71484375,2799.25,21.41183853149414
206,1,2479620352.0,33508.25,2479.5869140625,21.682100296020508
207,1,2308196096.0,33716.546875,2308.162353515625,22.70169448852539
208,1,2552874496.0,34132.78125,2552.84033203125,21.94603157043457
209,1,2313343488.0,33090.546875,2313.310546875,23.620738983154297
210,1,2381646080.0,30913.2734375,2381.614990234375,22.42639923095703
211,1,2253197824.0,35255.25390625,2253.16259765625,21.696956634521484
212,1,2311951104.0,33979.66796875,2311.9169921875,21.841384887695312
