step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,1969316224.0,22940.421875,19692.93359375,35.09339141845703
2,1,6542428672.0,19378.64453125,65424.08984375,11.633676528930664
3,1,1993336320.0,22671.296875,19933.13671875,8.286449432373047
4,1,2100054784.0,24743.279296875,21000.30078125,6.248246669769287
5,2,4235845376.0,24681.73828125,42358.20703125,7.652798652648926
6,2,2408060416.0,20354.140625,24080.3984375,3.973954200744629
7,2,2059089152.0,22905.546875,20590.662109375,3.911951780319214
8,2,1932000896.0,13077.896484375,19319.87890625,4.077139854431152
