step,epoch,total_loss,content_loss,style_loss,tv_loss
1,1,57548608.0,17644.0,5737.216796875,27.63282012939453
2,1,64813384.0,14478.5966796875,6466.85986328125,8.61103343963623
3,1,51587480.0,15448.6708984375,5143.29931640625,7.203547477722168
4,1,67103788.0,11723.552734375,6698.6552734375,6.184831619262695
5,1,57397080.0,9454.1328125,5730.25390625,4.876283168792725
6,1,53936452.0,13395.96484375,5380.2490234375,4.6080193519592285
7,1,50779464.0,11851.1240234375,5066.09521484375,4.77567195892334
8,1,49229364.0,13368.31640625,4909.56787109375,5.274880886077881
9,1,46098384.0,13564.0859375,4596.2744140625,5.183649063110352
10,1,41945692.0,14089.5517578125,4180.4794921875,5.837405204772949
11,1,38799968.0,12181.5341796875,3867.815185546875,5.151076316833496
12,1,34115780.0,16116.1455078125,3395.4619140625,5.914831161499023
13,1,33339848.0,15700.5341796875,3318.2841796875,5.644148349761963
14,1,31682872.0,18759.435546875,3149.52783203125,6.264587879180908
15,1,33085150.0,16333.884765625,3292.18115234375,5.610757827758789
16,1,28165476.0,20061.5625,2796.486083984375,6.898359775543213
17,1,26586108.0,20554.5,2638.056396484375,7.57737922668457
18,1,26171958.0,24488.07421875,2592.707763671875,7.647064208984375
19,1,25457398.0,24090.2734375,2521.649658203125,7.555640697479248
20,1,23599638.0,24149.46484375,2335.814453125,8.691434860229492
21,1,23444326.0,22450.10546875,2321.982421875,8.549216270446777
22,1,25546412.0,26845.009765625,2527.796142578125,10.1573486328125
23,1,22449888.0,24642.853515625,2220.345947265625,10.681865692138672
24,1,22951084.0,24045.224609375,2271.063232421875,9.276859283447266
25,1,21113814.0,27229.33203125,2084.152099609375,10.450895309448242
26,1,20521766.0,23833.86328125,2028.3428955078125,10.283759117126465
27,1,18389998.0,26504.361328125,1812.495361328125,12.1598482131958
28,1,16933426.0,26942.794921875,1666.3997802734375,13.74062728881836
29,1,16278041.0,24408.2734375,1603.395751953125,14.594470977783203
30,1,14909815.0,24625.23828125,1466.3563232421875,15.257415771484375
31,1,14943268.0,23636.0625,1470.690673828125,15.962120056152344
32,1,14025702.0,24382.55859375,1378.1876220703125,17.069679260253906
33,1,13693905.0,24332.9765625,1345.0574951171875,16.8511962890625
34,1,12749095.0,27701.513671875,1247.2080078125,18.644655227661133
35,1,12777039.0,23923.04296875,1253.7808837890625,20.40964698791504
36,1,11777426.0,27869.41015625,1149.8731689453125,20.30829429626465
37,1,10916411.0,25769.779296875,1065.871337890625,19.657224655151367
38,1,10777832.0,25743.54296875,1052.0396728515625,19.832311630249023
39,1,9579246.0,26730.595703125,931.1940307617188,20.24001693725586
40,1,9823452.0,26158.91015625,956.1863403320312,21.584617614746094
41,1,9623773.0,26098.3203125,936.2789916992188,21.464523315429688
42,1,9103709.0,24822.70703125,885.5481567382812,20.418907165527344
43,1,8988252.0,27197.931640625,871.6272583007812,23.46721649169922
44,1,8993703.0,25555.78125,873.8145141601562,21.915203094482422
45,1,8091520.0,25476.90234375,783.6751098632812,23.41138458251953
46,1,8507241.0,24956.734375,825.767333984375,22.149581909179688
47,1,8138566.0,22829.7734375,791.02685546875,23.08551025390625
48,1,7460552.5,25992.87109375,720.0623779296875,25.506093978881836
49,1,7540264.5,22093.28125,731.9331665039062,23.956256866455078
50,1,7154599.5,24747.296875,690.712646484375,23.88811492919922
51,1,7195243.5,22422.333984375,697.1019897460938,23.604198455810547
52,1,7317213.5,23268.12890625,708.4531860351562,22.15038299560547
53,1,6751070.5,24539.19140625,650.56787109375,23.180566787719727
54,1,6583756.5,24463.5,633.9121704101562,24.001914978027344
55,1,6460355.0,23251.5625,622.783935546875,23.204259872436523
56,1,6384996.0,23495.44140625,615.004150390625,23.16756820678711
57,1,5921960.0,21855.9453125,570.3400268554688,24.77081298828125
58,1,6055163.0,21682.00390625,583.8342895507812,23.10879135131836
59,1,5714580.0,25313.56640625,546.1444702148438,26.344194412231445
60,1,5486947.5,22951.478515625,525.7432250976562,24.84593391418457
61,1,5433739.5,23953.064453125,519.4208984375,24.827377319335938
62,1,5236466.0,22897.66015625,500.74896240234375,25.783966064453125
63,1,5191367.0,22682.3125,496.4543762207031,24.419038772583008
64,1,5006764.0,22187.24609375,478.4891662597656,23.84508514404297
65,1,5109782.0,22705.17578125,488.2729797363281,24.520530700683594
66,1,4708607.0,24359.837890625,446.5008544921875,24.219356536865234
67,1,4444641.5,22516.673828125,421.947509765625,26.295825958251953
68,1,4641433.5,23299.97265625,440.8433837890625,25.726852416992188
69,1,4355545.5,21678.7734375,413.87579345703125,26.837221145629883
70,1,4508164.5,21098.466796875,429.7179870605469,25.144845962524414
71,1,4172587.25,22385.1015625,394.8736267089844,26.299827575683594
72,1,3996341.5,23869.765625,375.7643737792969,27.026611328125
73,1,3731556.75,23523.6171875,349.6320495605469,27.18977165222168
74,1,3878558.25,22268.12890625,365.58770751953125,26.412254333496094
75,1,3621636.0,21569.912109375,340.59368896484375,27.741958618164062
76,1,3500553.5,21515.076171875,328.540283203125,27.32813262939453
77,1,3349183.5,21784.98828125,313.13336181640625,27.361614227294922
78,1,3539049.5,24501.005859375,329.4039611816406,27.63849639892578
79,1,3256123.5,23368.8828125,302.24346923828125,27.628908157348633
80,1,3084874.5,21869.609375,286.61785888671875,28.42233657836914
81,1,3038007.25,21667.142578125,282.1335754394531,28.531816482543945
82,1,2948400.0,21118.89453125,273.7210998535156,28.209579467773438
83,1,2807875.75,23159.109375,257.62847900390625,28.598831176757812
84,1,3163954.25,22208.46875,294.18695068359375,28.189289093017578
85,1,3150849.75,22001.4140625,293.08355712890625,27.6076602935791
86,1,2929150.75,21885.71484375,271.02935791015625,29.44624900817871
87,1,2718338.75,22824.384765625,249.00949096679688,30.167823791503906
88,1,2742556.75,23444.794921875,250.81088256835938,29.818531036376953
89,1,2471722.0,22732.037109375,224.4401397705078,30.486736297607422
90,1,2570083.5,22834.70703125,234.1736602783203,29.707897186279297
91,1,2538956.0,22904.666015625,230.99093627929688,30.430198669433594
92,1,2316245.75,22414.701171875,209.20986938476562,30.08321762084961
93,1,2256186.0,23322.01171875,202.2965850830078,30.791057586669922
94,1,2458906.0,23980.890625,221.90969848632812,29.000526428222656
95,1,2457489.25,22718.2421875,223.0306854248047,30.20740509033203
96,1,2323757.25,24682.34375,207.69337463378906,30.47870635986328
97,1,2188437.5,22931.55859375,195.91220092773438,30.403125762939453
