| 训练轮数 | 训练时间 | delta_time | content_loss | style_loss | 视觉效果评分 | 推荐场景 |
|---------|---------|------------|--------------|------------|-------------|---------|
| 2 epochs | 2分钟 | 0.097s | 20547.82 | 1568.75 | ⭐ 模糊不清 | 仅用于快速测试 |
| 10 epochs | 30分钟 | 0.094s | 21118.92 | 1526.76 | ⭐⭐⭐⭐ 良好 | 开发调试 |
| 15 epochs | 45分钟 | 0.094s | 20497.45 | 1511.62 | ⭐⭐⭐⭐⭐ 优秀 | 最终提交 ✅ |
